,TRY,CHF,SEK,RUB,NZL,NOK,MXN,JPY,GBP,EUR,CNH,CLP,CAD,ARS,AUD,ZAR,USD,BRL
2000-01-01,1.0046,1.6051,8.5625,1.0046,1.0046,8.0765,1.0046,102.73,0.6217,,1.0046,1.0046,1.4608,1.0046,1.5422,6.187,1.0046,1.0046
2000-01-02,1.0046,1.6051,8.5625,1.0046,1.0046,8.0765,1.0046,102.73,0.6217,,1.0046,1.0046,1.4608,1.0046,1.5422,6.187,1.0046,1.0046
2000-01-03,1.009,1.6043,8.552,1.009,1.009,8.062,1.009,102.75,0.6246,,1.009,1.009,1.4577,1.009,1.5346,6.2013,1.009,1.009
2000-01-04,1.0305,1.6053,8.6215,1.0305,1.0305,8.15,1.0305,105.88,0.6296,,1.0305,1.0305,1.4936,1.0305,1.5677,6.3087,1.0305,1.0305
2000-01-05,1.0368,1.606,8.6415,1.0368,1.0368,8.206,1.0368,107.34,0.6324,,1.0368,1.0368,1.5065,1.0368,1.5773,6.296,1.0368,1.0368
2000-01-06,1.0388,1.6068,8.6445,1.0388,1.0388,8.203,1.0388,108.72,0.6302,,1.0388,1.0388,1.5091,1.0388,1.5828,6.3304,1.0388,1.0388
2000-01-07,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-08,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-09,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-10,1.0229,1.6089,8.657,1.0229,1.0229,8.19,1.0229,107.26,0.6249,,1.0229,1.0229,1.4873,1.0229,1.5587,6.2223,1.0229,1.0229
2000-01-11,1.0256,1.6093,8.662,1.0256,1.0256,8.2075,1.0256,108.85,0.6251,,1.0256,1.0256,1.4963,1.0256,1.5664,6.2305,1.0256,1.0256
2000-01-12,1.0308,1.6098,8.6725,1.0308,1.0308,8.216,1.0308,109.1,0.6253,,1.0308,1.0308,1.5017,1.0308,1.5653,6.2656,1.0308,1.0308
2000-01-13,1.0276,1.6111,8.6475,1.0276,1.0276,8.1795,1.0276,108.89,0.6255,,1.0276,1.0276,1.4897,1.0276,1.545,6.2303,1.0276,1.0276
2000-01-14,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-15,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-16,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-17,1.0094,1.6136,8.564,1.0094,1.0094,8.0965,1.0094,105.81,0.618,,1.0094,1.0094,1.4651,1.0094,1.5212,6.1296,1.0094,1.0094
2000-01-18,1.0093,1.6131,8.5705,1.0093,1.0093,8.1065,1.0093,106.42,0.6174,,1.0093,1.0093,1.4626,1.0093,1.5222,6.1355,1.0093,1.0093
2000-01-19,1.0105,1.612,8.5835,1.0105,1.0105,8.0755,1.0105,106.99,0.6172,,1.0105,1.0105,1.4647,1.0105,1.5222,6.1691,1.0105,1.0105
2000-01-20,1.0089,1.6147,8.591,1.0089,1.0089,8.0865,1.0089,106.44,0.6127,,1.0089,1.0089,1.4625,1.0089,1.5182,6.1543,1.0089,1.0089
2000-01-21,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-22,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-23,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-24,1.0027,1.6136,8.559,1.0027,1.0027,8.0455,1.0027,105.54,0.6062,,1.0027,1.0027,1.446,1.0027,1.5295,6.1576,1.0027,1.0027
2000-01-25,1.0008,1.6121,8.5125,1.0008,1.0008,8.0415,1.0008,105.69,0.6083,,1.0008,1.0008,1.4444,1.0008,1.5275,6.1686,1.0008,1.0008
2000-01-26,1.0019,1.6116,8.5395,1.0019,1.0019,8.069,1.0019,106.04,0.6094,,1.0019,1.0019,1.4405,1.0019,1.5282,6.1617,1.0019,1.0019
2000-01-27,0.9976,1.6113,8.5355,0.9976,0.9976,8.0815,0.9976,105.43,0.6089,,0.9976,0.9976,1.4331,0.9976,1.5289,6.1497,0.9976,0.9976
2000-01-28,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-29,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-30,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-31,0.9791,1.6091,8.6,0.9791,0.9791,8.0825,0.9791,104.62,0.6047,,0.9791,0.9791,1.4195,0.9791,1.543,6.162,0.9791,0.9791
2000-02-01,0.971,1.6078,8.586,0.971,0.971,8.073,0.971,104.62,0.602,,0.971,0.971,1.4121,0.971,1.5277,6.1173,0.971,0.971
2000-02-02,0.9717,1.6101,8.518,0.9717,0.9717,8.0175,0.9717,105.51,0.6051,,0.9717,0.9717,1.4098,0.9717,1.5273,6.0785,0.9717,0.9717
2000-02-03,0.9748,1.6083,8.4845,0.9748,0.9748,8.0475,0.9748,105.78,0.6086,,0.9748,0.9748,1.4045,0.9748,1.5382,6.1073,0.9748,0.9748
2000-02-04,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-05,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-06,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-07,0.9767,1.6065,8.463,0.9767,0.9767,8.059,0.9767,106.02,0.6134,,0.9767,0.9767,1.4045,0.9767,1.5261,6.1596,0.9767,0.9767
2000-02-08,0.9903,1.6074,8.475,0.9903,0.9903,8.072,0.9903,107.91,0.6182,,0.9903,0.9903,1.4354,0.9903,1.5634,6.247,0.9903,0.9903
2000-02-09,0.9934,1.6092,8.4955,0.9934,0.9934,8.0825,0.9934,108.16,0.6169,,0.9934,0.9934,1.4334,0.9934,1.562,6.2537,0.9934,0.9934
2000-02-10,0.9868,1.606,8.48,0.9868,0.9868,8.0695,0.9868,107.11,0.6126,,0.9868,0.9868,1.4317,0.9868,1.5587,6.2553,0.9868,0.9868
2000-02-11,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-12,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-13,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-14,0.9867,1.6066,8.485,0.9867,0.9867,8.0795,0.9867,106.85,0.6201,,0.9867,0.9867,1.4308,0.9867,1.5636,6.2473,0.9867,0.9867
2000-02-15,0.9778,1.6061,8.494,0.9778,0.9778,8.0685,0.9778,106.46,0.6159,,0.9778,0.9778,1.4259,0.9778,1.5597,6.231,0.9778,0.9778
2000-02-16,0.9804,1.6036,8.547,0.9804,0.9804,8.1125,0.9804,106.97,0.6129,,0.9804,0.9804,1.4279,0.9804,1.5531,6.2309,0.9804,0.9804
2000-02-17,0.9919,1.6042,8.577,0.9919,0.9919,8.1565,0.9919,109.3,0.6158,,0.9919,0.9919,1.4409,0.9919,1.5646,6.2514,0.9919,0.9919
2000-02-18,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-19,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-20,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-21,0.9857,1.6031,8.572,0.9857,0.9857,8.17,0.9857,109.73,0.6161,,0.9857,0.9857,1.4317,0.9857,1.5717,6.2417,0.9857,0.9857
2000-02-22,1.0022,1.6072,8.5855,1.0022,1.0022,8.1915,1.0022,111.11,0.6226,,1.0022,1.0022,1.4586,1.0022,1.5976,6.3279,1.0022,1.0022
2000-02-23,1.0068,1.6105,8.5935,1.0068,1.0068,8.1955,1.0068,111.88,0.6252,,1.0068,1.0068,1.4754,1.0068,1.6225,6.3227,1.0068,1.0068
2000-02-24,0.9898,1.6101,8.557,0.9898,0.9898,8.1475,0.9898,109.55,0.6188,,0.9898,0.9898,1.4479,0.9898,1.6067,6.2704,0.9898,0.9898
2000-02-25,0.9813,1.6083,8.5255,0.9813,0.9813,8.1275,0.9813,108.79,0.6155,,0.9813,0.9813,1.4265,0.9813,1.5834,6.1822,0.9813,0.9813
2000-02-26,0.9813,1.6083,8.5255,0.9813,0.9813,8.1275,0.9813,108.79,0.6155,,0.9813,0.9813,1.4265,0.9813,1.5834,6.1822,0.9813,0.9813
2000-02-27,0.9813,1.6083,8.5255,0.9813,0.9813,8.1275,0.9813,108.79,0.6155,,0.9813,0.9813,1.4265,0.9813,1.5834,6.1822,0.9813,0.9813
2000-02-28,0.9639,1.6064,8.417,0.9639,0.9639,8.0625,0.9639,105.22,0.6072,,0.9639,0.9639,1.3969,0.9639,1.571,6.1087,0.9639,0.9639
2000-02-29,0.9714,1.6067,8.432,0.9714,0.9714,8.0805,0.9714,106.81,0.6134,,0.9714,0.9714,1.4097,0.9714,1.5795,6.1684,0.9714,0.9714
2000-03-01,0.9667,1.6066,8.425,0.9667,0.9667,8.0825,0.9667,104.65,0.6123,,0.9667,0.9667,1.3968,0.9667,1.597,6.141,0.9667,0.9667
2000-03-02,0.9725,1.6075,8.4415,0.9725,0.9725,8.07,0.9725,104.38,0.614,,0.9725,0.9725,1.4123,0.9725,1.5952,6.1929,0.9725,0.9725
2000-03-03,0.9659,1.6063,8.47,0.9659,0.9659,8.084,0.9659,104.17,0.6117,,0.9659,0.9659,1.4051,0.9659,1.5913,6.2523,0.9659,0.9659
2000-03-04,0.9659,1.6063,8.47,0.9659,0.9659,8.084,0.9659,104.17,0.6117,,0.9659,0.9659,1.4051,0.9659,1.5913,6.2523,0.9659,0.9659
2000-03-05,0.9659,1.6063,8.47,0.9659,0.9659,8.084,0.9659,104.17,0.6117,,0.9659,0.9659,1.4051,0.9659,1.5913,6.2523,0.9659,0.9659
2000-03-06,0.964,1.6072,8.4425,0.964,0.964,8.0765,0.964,103.47,0.6111,,0.964,0.964,1.3976,0.964,1.596,6.2474,0.964,0.964
2000-03-07,0.9593,1.6083,8.4345,0.9593,0.9593,8.084,0.9593,103.0,0.6096,,0.9593,0.9593,1.3939,0.9593,1.5879,6.2527,0.9593,0.9593
2000-03-08,0.9543,1.6061,8.431,0.9543,0.9543,8.085,0.9543,102.24,0.6043,,0.9543,0.9543,1.3917,0.9543,1.5721,6.2036,0.9543,0.9543
2000-03-09,0.9616,1.6061,8.448,0.9616,0.9616,8.1175,0.9616,102.44,0.6086,,0.9616,0.9616,1.402,0.9616,1.5702,6.2071,0.9616,0.9616
2000-03-10,0.9613,1.6078,8.4415,0.9613,0.9613,8.0995,0.9613,102.27,0.6095,,0.9613,0.9613,1.3981,0.9613,1.5658,6.1283,0.9613,0.9613
2000-03-11,0.9613,1.6078,8.4415,0.9613,0.9613,8.0995,0.9613,102.27,0.6095,,0.9613,0.9613,1.3981,0.9613,1.5658,6.1283,0.9613,0.9613
2000-03-12,0.9613,1.6078,8.4415,0.9613,0.9613,8.0995,0.9613,102.27,0.6095,,0.9613,0.9613,1.3981,0.9613,1.5658,6.1283,0.9613,0.9613
2000-03-13,0.9716,1.6108,8.421,0.9716,0.9716,8.1205,0.9716,102.23,0.6146,,0.9716,0.9716,1.4166,0.9716,1.5819,6.262,0.9716,0.9716
2000-03-14,0.962,1.6114,8.398,0.962,0.962,8.121,0.962,100.93,0.6123,,0.962,0.962,1.4054,0.962,1.5631,6.1794,0.962,0.962
2000-03-15,0.9647,1.6115,8.415,0.9647,0.9647,8.14,0.9647,101.74,0.614,,0.9647,0.9647,1.4142,0.9647,1.5737,6.2426,0.9647,0.9647
2000-03-16,0.9663,1.6112,8.4325,0.9663,0.9663,8.1585,0.9663,101.73,0.6155,,0.9663,0.9663,1.417,0.9663,1.5753,6.2471,0.9663,0.9663
2000-03-17,0.9672,1.6126,8.417,0.9672,0.9672,8.154,0.9672,102.31,0.6146,,0.9672,0.9672,1.4277,0.9672,1.5881,6.2568,0.9672,0.9672
2000-03-18,0.9672,1.6126,8.417,0.9672,0.9672,8.154,0.9672,102.31,0.6146,,0.9672,0.9672,1.4277,0.9672,1.5881,6.2568,0.9672,0.9672
2000-03-19,0.9672,1.6126,8.417,0.9672,0.9672,8.154,0.9672,102.31,0.6146,,0.9672,0.9672,1.4277,0.9672,1.5881,6.2568,0.9672,0.9672
2000-03-20,0.9715,1.6126,8.4225,0.9715,0.9715,8.1705,0.9715,103.71,0.6201,,0.9715,0.9715,1.4282,0.9715,1.6038,6.3045,0.9715,0.9715
2000-03-21,0.9701,1.6116,8.3925,0.9701,0.9701,8.166,0.9701,103.46,0.6176,,0.9701,0.9701,1.4259,0.9701,1.5929,6.2879,0.9701,0.9701
2000-03-22,0.9603,1.6095,8.364,0.9603,0.9603,8.1475,0.9603,102.88,0.6125,,0.9603,0.9603,1.4106,0.9603,1.5817,6.1987,0.9603,0.9603
2000-03-23,0.9656,1.6045,8.3725,0.9656,0.9656,8.106,0.9656,103.88,0.6104,,0.9656,0.9656,1.4203,0.9656,1.5968,6.2595,0.9656,0.9656
2000-03-24,0.9715,1.5936,8.375,0.9715,0.9715,8.13,0.9715,104.09,0.6115,,0.9715,0.9715,1.4238,0.9715,1.6005,6.2924,0.9715,0.9715
2000-03-25,0.9715,1.5936,8.375,0.9715,0.9715,8.13,0.9715,104.09,0.6115,,0.9715,0.9715,1.4238,0.9715,1.6005,6.2924,0.9715,0.9715
2000-03-26,0.9715,1.5936,8.375,0.9715,0.9715,8.13,0.9715,104.09,0.6115,,0.9715,0.9715,1.4238,0.9715,1.6005,6.2924,0.9715,0.9715
2000-03-27,0.9712,1.5908,8.34,0.9712,0.9712,8.127,0.9712,103.77,0.6087,,0.9712,0.9712,1.4207,0.9712,1.5818,6.2822,0.9712,0.9712
2000-03-28,0.9647,1.5904,8.271,0.9647,0.9647,8.081,0.9647,102.59,0.6088,,0.9647,0.9647,1.406,0.9647,1.5721,6.2537,0.9647,0.9647
2000-03-29,0.9568,1.5896,8.2455,0.9568,0.9568,8.0625,0.9568,100.77,0.6032,,0.9568,0.9568,1.3935,0.9568,1.5735,6.2706,0.9568,0.9568
2000-03-30,0.9555,1.5909,8.25,0.9555,0.9555,8.0815,0.9555,100.35,0.601,,0.9555,0.9555,1.3922,0.9555,1.5611,6.2886,0.9555,0.9555
2000-03-31,0.9553,1.5907,8.2825,0.9553,0.9553,8.0885,0.9553,98.53,0.5985,,0.9553,0.9553,1.3879,0.9553,1.5811,6.2873,0.9553,0.9553
2000-04-01,0.9553,1.5907,8.2825,0.9553,0.9553,8.0885,0.9553,98.53,0.5985,,0.9553,0.9553,1.3879,0.9553,1.5811,6.2873,0.9553,0.9553
2000-04-02,0.9553,1.5907,8.2825,0.9553,0.9553,8.0885,0.9553,98.53,0.5985,,0.9553,0.9553,1.3879,0.9553,1.5811,6.2873,0.9553,0.9553
2000-04-03,0.9564,1.5886,8.295,0.9564,0.9564,8.109,0.9564,100.27,0.6,,0.9564,0.9564,1.3873,0.9564,1.5741,6.2812,0.9564,0.9564
2000-04-04,0.9538,1.5817,8.3005,0.9538,0.9538,8.1145,0.9538,100.74,0.5971,,0.9538,0.9538,1.3842,0.9538,1.5809,6.2402,0.9538,0.9538
2000-04-05,0.9673,1.5732,8.329,0.9673,0.9673,8.157,0.9673,101.71,0.6088,,0.9673,0.9673,1.4078,0.9673,1.5954,6.3808,0.9673,0.9673
2000-04-06,0.9625,1.5725,8.3015,0.9625,0.9625,8.133,0.9625,101.04,0.6075,,0.9625,0.9625,1.3946,0.9625,1.5962,6.3352,0.9625,0.9625
2000-04-07,0.9564,1.5727,8.2728,0.9564,0.9564,8.127,0.9564,100.71,0.6047,,0.9564,0.9564,1.3917,0.9564,1.6043,6.2876,0.9564,0.9564
2000-04-08,0.9564,1.5727,8.2728,0.9564,0.9564,8.127,0.9564,100.71,0.6047,,0.9564,0.9564,1.3917,0.9564,1.6043,6.2876,0.9564,0.9564
2000-04-09,0.9564,1.5727,8.2728,0.9564,0.9564,8.127,0.9564,100.71,0.6047,,0.9564,0.9564,1.3917,0.9564,1.6043,6.2876,0.9564,0.9564
2000-04-10,0.959,1.5731,8.277,0.959,0.959,8.1465,0.959,101.92,0.6064,,0.959,0.959,1.3989,0.959,1.6025,6.2671,0.959,0.959
2000-04-11,0.9594,1.5718,8.268,0.9594,0.9594,8.1765,0.9594,102.61,0.6055,,0.9594,0.9594,1.4017,0.9594,1.6099,6.3215,0.9594,0.9594
2000-04-12,0.9576,1.5745,8.2915,0.9576,0.9576,8.1585,0.9576,101.11,0.6038,,0.9576,0.9576,1.4018,0.9576,1.6078,6.2747,0.9576,0.9576
2000-04-13,0.9537,1.5738,8.2895,0.9537,0.9537,8.148,0.9537,101.09,0.5999,,0.9537,0.9537,1.3931,0.9537,1.5916,6.2801,0.9537,0.9537
2000-04-14,0.954,1.5737,8.2965,0.954,0.954,8.149,0.954,100.86,0.6016,,0.954,0.954,1.4063,0.954,1.5999,6.278,0.954,0.954
2000-04-15,0.954,1.5737,8.2965,0.954,0.954,8.149,0.954,100.86,0.6016,,0.954,0.954,1.4063,0.954,1.5999,6.278,0.954,0.954
2000-04-16,0.954,1.5737,8.2965,0.954,0.954,8.149,0.954,100.86,0.6016,,0.954,0.954,1.4063,0.954,1.5999,6.278,0.954,0.954
2000-04-17,0.9573,1.5686,8.3295,0.9573,0.9573,8.2075,0.9573,99.4,0.6026,,0.9573,0.9573,1.4184,0.9573,1.6168,6.3503,0.9573,0.9573
2000-04-18,0.9497,1.571,8.297,0.9497,0.9497,8.1775,0.9497,98.97,0.6003,,0.9497,0.9497,1.4142,0.9497,1.6006,6.2823,0.9497,0.9497
2000-04-19,0.9461,1.5748,8.263,0.9461,0.9461,8.1733,0.9461,98.79,0.5983,,0.9461,0.9461,1.3994,0.9461,1.584,6.2726,0.9461,0.9461
2000-04-20,0.9376,1.5727,8.2442,0.9376,0.9376,8.1655,0.9376,98.37,0.5934,,0.9376,0.9376,1.3815,0.9376,1.5795,6.2561,0.9376,0.9376
2000-04-21,0.9376,1.5727,8.2442,0.9376,0.9376,8.1655,0.9376,98.37,0.5934,,0.9376,0.9376,1.3815,0.9376,1.5795,6.2561,0.9376,0.9376
2000-04-22,0.9376,1.5727,8.2442,0.9376,0.9376,8.1655,0.9376,98.37,0.5934,,0.9376,0.9376,1.3815,0.9376,1.5795,6.2561,0.9376,0.9376
2000-04-23,0.9376,1.5727,8.2442,0.9376,0.9376,8.1655,0.9376,98.37,0.5934,,0.9376,0.9376,1.3815,0.9376,1.5795,6.2561,0.9376,0.9376
2000-04-24,0.9376,1.5727,8.2442,0.9376,0.9376,8.1655,0.9376,98.37,0.5934,,0.9376,0.9376,1.3815,0.9376,1.5795,6.2561,0.9376,0.9376
2000-04-25,0.9302,1.5712,8.243,0.9302,0.9302,8.163,0.9302,98.15,0.5896,,0.9302,0.9302,1.3724,0.9302,1.5637,6.2649,0.9302,0.9302
2000-04-26,0.9193,1.5721,8.1825,0.9193,0.9193,8.1535,0.9193,97.85,0.5827,,0.9193,0.9193,1.3492,0.9193,1.5608,6.1915,0.9193,0.9193
2000-04-27,0.9163,1.5742,8.188,0.9163,0.9163,8.175,0.9163,97.57,0.5827,,0.9163,0.9163,1.3543,0.9163,1.5575,6.2388,0.9163,0.9163
2000-04-28,0.9085,1.571,8.14,0.9085,0.9085,8.1475,0.9085,97.48,0.5794,,0.9085,0.9085,1.3457,0.9085,1.5552,6.222,0.9085,0.9085
2000-04-29,0.9085,1.571,8.14,0.9085,0.9085,8.1475,0.9085,97.48,0.5794,,0.9085,0.9085,1.3457,0.9085,1.5552,6.222,0.9085,0.9085
2000-04-30,0.9085,1.571,8.14,0.9085,0.9085,8.1475,0.9085,97.48,0.5794,,0.9085,0.9085,1.3457,0.9085,1.5552,6.222,0.9085,0.9085
2000-05-01,0.9085,1.571,8.1278,0.9085,0.9085,8.138,0.9085,97.48,0.5892,,0.9085,0.9085,1.3457,0.9085,1.5552,6.1899,0.9085,0.9085
2000-05-02,0.9116,1.5599,8.1001,0.9116,0.9116,8.1132,0.9116,99.15,0.5828,,0.9116,0.9116,1.3465,0.9116,1.5558,6.1433,0.9116,0.9116
2000-05-03,0.8913,1.5411,8.0612,0.8913,0.8913,8.0514,0.8913,97.46,0.573,,0.8913,0.8913,1.3252,0.8913,1.5156,6.114,0.8913,0.8913
2000-05-04,0.8947,1.5472,8.1115,0.8947,0.8947,8.104,0.8947,97.35,0.5776,,0.8947,0.8947,1.336,0.8947,1.5155,6.2047,0.8947,0.8947
2000-05-05,0.8984,1.5467,8.144,0.8984,0.8984,8.119,0.8984,97.21,0.5876,,0.8984,0.8984,1.3457,0.8984,1.5156,6.2366,0.8984,0.8984
2000-05-06,0.8984,1.5467,8.144,0.8984,0.8984,8.119,0.8984,97.21,0.5876,,0.8984,0.8984,1.3457,0.8984,1.5156,6.2366,0.8984,0.8984
2000-05-07,0.8984,1.5467,8.144,0.8984,0.8984,8.119,0.8984,97.21,0.5876,,0.8984,0.8984,1.3457,0.8984,1.5156,6.2366,0.8984,0.8984
2000-05-08,0.8952,1.5494,8.1478,0.8952,0.8952,8.1487,0.8952,97.17,0.5855,,0.8952,0.8952,1.333,0.8952,1.5228,6.2278,0.8952,0.8952
2000-05-09,0.8978,1.5481,8.1816,0.8978,0.8978,8.1722,0.8978,98.25,0.5922,,0.8978,0.8978,1.3418,0.8978,1.5545,6.4206,0.8978,0.8978
2000-05-10,0.9107,1.5604,8.2156,0.9107,0.9107,8.1745,0.9107,99.13,0.5988,,0.9107,0.9107,1.3593,0.9107,1.5612,6.3767,0.9107,0.9107
2000-05-11,0.9079,1.5559,8.278,0.9079,0.9079,8.2324,0.9079,98.53,0.5998,,0.9079,0.9079,1.3565,0.9079,1.5765,6.327,0.9079,0.9079
2000-05-12,0.9029,1.5528,8.236,0.9029,0.9029,8.173,0.9029,98.01,0.6057,,0.9029,0.9029,1.3431,0.9029,1.5636,6.4298,0.9029,0.9029
2000-05-13,0.9029,1.5528,8.236,0.9029,0.9029,8.173,0.9029,98.01,0.6057,,0.9029,0.9029,1.3431,0.9029,1.5636,6.4298,0.9029,0.9029
2000-05-14,0.9029,1.5528,8.236,0.9029,0.9029,8.173,0.9029,98.01,0.6057,,0.9029,0.9029,1.3431,0.9029,1.5636,6.4298,0.9029,0.9029
2000-05-15,0.9147,1.5554,8.2434,0.9147,0.9147,8.1473,0.9147,100.07,0.6037,,0.9147,0.9147,1.3608,0.9147,1.5936,6.4314,0.9147,0.9147
2000-05-16,0.9065,1.5525,8.2018,0.9065,0.9065,8.1547,0.9065,98.89,0.6028,,0.9065,0.9065,1.3475,0.9065,1.576,6.3625,0.9065,0.9065
2000-05-17,0.8922,1.5488,8.2144,0.8922,0.8922,8.1635,0.8922,97.98,0.598,,0.8922,0.8922,1.3289,0.8922,1.5723,6.3448,0.8922,0.8922
2000-05-18,0.8942,1.5534,8.1679,0.8942,0.8942,8.17,0.8942,97.6,0.6032,,0.8942,0.8942,1.3443,0.8942,1.578,6.3766,0.8942,0.8942
2000-05-19,0.8875,1.5512,8.192,0.8875,0.8875,8.164,0.8875,95.69,0.604,,0.8875,0.8875,1.3324,0.8875,1.557,6.4466,0.8875,0.8875
2000-05-20,0.8875,1.5512,8.192,0.8875,0.8875,8.164,0.8875,95.69,0.604,,0.8875,0.8875,1.3324,0.8875,1.557,6.4466,0.8875,0.8875
2000-05-21,0.8875,1.5512,8.192,0.8875,0.8875,8.164,0.8875,95.69,0.604,,0.8875,0.8875,1.3324,0.8875,1.557,6.4466,0.8875,0.8875
2000-05-22,0.9,1.5527,8.3265,0.9,0.9,8.197,0.9,96.57,0.605,,0.9,0.9,1.345,0.9,1.5766,6.4339,0.9,0.9
2000-05-23,0.9111,1.5632,8.3367,0.9111,0.9111,8.2714,0.9111,97.3,0.6142,,0.9111,0.9111,1.3616,0.9111,1.58,6.4216,0.9111,0.9111
2000-05-24,0.9098,1.5641,8.328,0.9098,0.9098,8.27,0.9098,97.58,0.6122,,0.9098,0.9098,1.3714,0.9098,1.5908,6.4292,0.9098,0.9098
2000-05-25,0.8981,1.5575,8.3305,0.8981,0.8981,8.27,0.8981,96.81,0.6197,,0.8981,0.8981,1.36,0.8981,1.581,6.5278,0.8981,0.8981
2000-05-26,0.9143,1.5642,8.367,0.9143,0.9143,8.292,0.9143,98.22,0.6262,,0.9143,0.9143,1.3733,0.9143,1.6002,6.6213,0.9143,0.9143
2000-05-27,0.9143,1.5642,8.367,0.9143,0.9143,8.292,0.9143,98.22,0.6262,,0.9143,0.9143,1.3733,0.9143,1.6002,6.6213,0.9143,0.9143
2000-05-28,0.9143,1.5642,8.367,0.9143,0.9143,8.292,0.9143,98.22,0.6262,,0.9143,0.9143,1.3733,0.9143,1.6002,6.6213,0.9143,0.9143
2000-05-29,0.9262,1.5677,8.4255,0.9262,0.9262,8.292,0.9262,99.32,0.6208,,0.9262,0.9262,1.3915,0.9262,1.614,6.5881,0.9262,0.9262
2000-05-30,0.9359,1.5718,8.393,0.9359,0.9359,8.329,0.9359,99.8,0.6208,,0.9359,0.9359,1.4065,0.9359,1.621,6.5014,0.9359,0.9359
2000-05-31,0.9303,1.5716,8.39,0.9303,0.9303,8.314,0.9303,99.9,0.6236,,0.9303,0.9303,1.3982,0.9303,1.625,6.5166,0.9303,0.9303
2000-06-01,0.933,1.574,8.3337,0.933,0.933,8.308,0.933,101.41,0.6233,,0.933,0.933,1.3958,0.933,1.6306,6.4955,0.933,0.933
2000-06-02,0.9355,1.5729,8.343,0.9355,0.9355,8.295,0.9355,101.62,0.6256,,0.9355,0.9355,1.3944,0.9355,1.6295,6.5483,0.9355,0.9355
